year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other
1996,ILLINOIS,IL,4311391,1587021,2341744,22548,360078
1996,INDIANA,IN,2135431,1006693,887424,15632,225682
1996,IOWA,IA,1234075,492644,620258,2315,118858
1996,KANSAS,KS,1074300,583245,387659,4557,98839
1996,KENTUCKY,KY,1388708,623283,636614,4009,124802
1996,LOUISIANA,LA,1783959,712586,927837,7499,136037
1996,MAINE,ME,605897,186378,312788,2996,103735
1996,MARYLAND,MD,1780870,681530,966207,8765,124368
1996,MASSACHUSETTS,MA,2556459,718058,1571509,20424,246468
1996,MICHIGAN,MI,3848844,1481212,1989653,27670,350309
1996,MINNESOTA,MN,2192492,766395,1120380,8271,297446
1996,MISSISSIPPI,MS,893857,439838,394022,2809,57188
1996,MISSOURI,MO,2158065,890016,1025935,10522,231592
1996,MONTANA,MT,407083,179652,167922,2526,56983
1996,NEBRASKA,NE,677415,363467,236761,2792,74395
1996,NEVADA,NV,464279,199244,203974,4460,56601
1996,NEW HAMPSHIRE,NH,496597,196486,246166,4214,49731
1996,NEW JERSEY,NJ,3075860,1103099,1652361,0,320400
1996,NEW MEXICO,NM,556074,232751,273495,2996,46832
1996,NEW YORK,NY,6439129,3672199,7405807,24440,737240
1996,NORTH CAROLINA,NC,2515807,1225938,1107849,8740,173280
1996,NORTH DAKOTA,ND,266411,125050,106905,847,33609
1996,OHIO,OH,4534434,1859883,2148222,12851,513478
1996,OKLAHOMA,OK,1206713,582315,488105,5505,130788
1996,OREGON,OR,1377760,538152,649641,8903,181064
1996,PENNSYLVANIA,PA,4501307,1801169,2215819,28000,456319
1996,RHODE ISLAND,RI,390247,104683,233050,1109,51405
1996,SOUTH CAROLINA,SC,1150182,573339,506152,4271,66420
1996,SOUTH DAKOTA,SD,323826,150543,139333,1472,32478
1996,TENNESSEE,TN,1894105,863530,909146,0,121429
1996,TEXAS,TX,5611644,2736167,2459683,20256,395538
1996,UTAH,UT,665629,361911,221633,4129,77956
1996,VERMONT,VT,258449,80352,137894,1183,39020
1996,VIRGINIA,VA,2416642,1138350,1091060,9174,178058
1996,WASHINGTON,WA,2253837,840712,1123323,12522,277280
1996,WEST VIRGINIA,WV,636459,233946,327812,3062,71639
1996,WISCONSIN,WI,2196169,845029,1071971,7929,271240
1996,WYOMING,WY,211571,105388,77934,1739,26510
2000,ALABAMA,AL,1666272,941173,692611,5893,26595
2000,ALASKA,AK,285560,167398,79004,2636,36522
2000,ARIZONA,AZ,1532016,781652,685341,5775,59248
2000,ARKANSAS,AR,921781,472940,422768,2781,23292
2000,CALIFORNIA,CA,10965822,4567429,5861203,45520,491670
2000,COLORADO,CO,1741368,883748,738227,12799,106594
2000,CONNECTICUT,CT,1459525,561094,816015,3484,78932
2000,DELAWARE,DE,327529,137288,180068,774,9399
2000,DISTRICT OF COLUMBIA,DC,201894,18073,171923,669,11229
2000,FLORIDA,FL,5963110,2912790,2912253,16415,121652
2000,GEORGIA,GA,2583208,1419720,1116230,36332,10926
2000,HAWAII,HI,367951,137845,205286,1477,23343
2000,IDAHO,ID,501615,336937,138637,3488,22553
2000,ILLINOIS,IL,4742108,2019421,2589026,11623,122038
2000,INDIANA,IN,2199302,1245836,901980,15530,35956
2000,IOWA,IA,1353022,634373,638517,3209,76923
2000,KANSAS,KS,1072216,622332,399276,4525,46083
2000,KENTUCKY,KY,1544106,872520,638923,2885,29778
2000,LOUISIANA,LA,1765656,927871,792344,2951,42490
2000,MAINE,ME,651817,286616,319951,3074,42176
2000,MARYLAND,MD,2025212,813827,1144008,5310,62067
2000,MASSACHUSETTS,MA,2733964,878502,1616487,16366,222609
2000,MICHIGAN,MI,4232501,1953139,2170418,16711,92233
2000,MINNESOTA,MN,2438685,1109659,1168266,5282,155478
2000,MISSISSIPPI,MS,994184,572844,404614,2009,14717
2000,MISSOURI,MO,2359892,1189924,1111138,7436,51394
2000,MONTANA,MT,410986,240178,137126,1718,31964
2000,NEBRASKA,NE,697019,433862,231780,2245,29132
2000,NEVADA,NV,608970,301575,279978,3311,24106
2000,NEW HAMPSHIRE,NH,569081,273559,266348,2757,26417
2000,NEW JERSEY,NJ,3187226,1284173,1788850,0,114203
2000,NEW MEXICO,NM,598605,286417,286783,2058,23347
2000,NEW YORK,NY,6960215,4661951,8049912,15298,441495
2000,NORTH CAROLINA,NC,2914990,1631163,1257692,13891,12244
2000,NORTH DAKOTA,ND,288256,174852,95284,0,18120
2000,OHIO,OH,4701998,2350363,2183628,13473,154534
2000,OKLAHOMA,OK,1234229,744337,474276,6602,9014
2000,OREGON,OR,1533950,713577,720342,7447,92584
2000,PENNSYLVANIA,PA,4912185,2281127,2485967,11248,133843
2000,RHODE ISLAND,RI,409112,130555,249508,742,28307
2000,SOUTH CAROLINA,SC,1383902,786892,566037,4760,26213
2000,SOUTH DAKOTA,SD,316269,190700,118804,1662,5103
2000,TENNESSEE,TN,2076181,1061949,981720,0,32512
2000,TEXAS,TX,6407637,3799639,2433746,23160,151092
2000,UTAH,UT,770754,515096,203053,3616,48989
2000,VERMONT,VT,294308,119775,149022,784,24727
2000,VIRGINIA,VA,2739447,1437490,1217290,15198,69469
2000,WASHINGTON,WA,2487433,1108864,1247652,13135,117782
2000,WEST VIRGINIA,WV,648124,336475,295497,1912,14240
2000,WISCONSIN,WI,2598607,1237279,1242987,6640,111701
2000,WYOMING,WY,213726,147947,60481,1443,3855
2004,ALABAMA,AL,1883415,1176394,693933,0,13088
2004,ALASKA,AK,312598,190889,111025,1675,9009
2004,ARIZONA,AZ,2012585,1104294,893524,11856,2911
2004,ARKANSAS,AR,1054945,572898,469953,2352,9742
2004,CALIFORNIA,CA,12421353,5509826,6745485,50165,115877
2004,COLORADO,CO,2129630,1101255,1001732,7664,18979
2004,CONNECTICUT,CT,1578769,693826,857488,3367,24088
2004,DELAWARE,DE,375190,171660,200152,586,2792
2004,DISTRICT OF COLUMBIA,DC,227586,21256,202970,502,2858
2004,FLORIDA,FL,7609810,3964522,3583544,11996,49748
2004,GEORGIA,GA,3301875,1914254,1366149,18387,3085
2004,HAWAII,HI,429013,194191,231708,1377,1737
2004,IDAHO,ID,598376,409235,181098,3844,4199
2004,ILLINOIS,IL,5274322,2345946,2891550,32442,4384
2004,INDIANA,IN,2468002,1479438,969011,18058,1495
2004,IOWA,IA,1506908,751957,741898,2992,10061
2004,KANSAS,KS,1187756,736456,434993,4013,12294
2004,KENTUCKY,KY,1795882,1069439,712733,2619,11091
2004,LOUISIANA,LA,1943106,1102169,820299,2781,17857
2004,MAINE,ME,740752,330201,396842,1965,11744
2004,MARYLAND,MD,2384238,1024703,1334493,6094,18948
2004,MASSACHUSETTS,MA,2927455,1071109,1803800,15022,37524
2004,MICHIGAN,MI,4839252,2313746,2479183,10552,35771
2004,MINNESOTA,MN,2828387,1346695,1445014,4639,32039
2004,MISSISSIPPI,MS,1139824,672660,457766,1793,7605
2004,MISSOURI,MO,2731364,1455713,1259171,9831,6649
2004,MONTANA,MT,450434,266063,173710,1733,8928
2004,NEBRASKA,NE,778186,512814,254328,2041,9003
2004,NEVADA,NV,829587,418690,397190,3176,10531
2004,NEW HAMPSHIRE,NH,678287,331237,340511,0,6539
2004,NEW JERSEY,NJ,3611691,1670003,1911430,0,30258
2004,NEW MEXICO,NM,756304,376930,370942,2382,6050
2004,NEW YORK,NY,7448266,5769560,8495035,23214,159812
2004,NORTH CAROLINA,NC,3501007,1961166,1525849,11731,2261
2004,NORTH DAKOTA,ND,312833,196651,111052,851,4279
2004,OHIO,OH,5627903,2859764,2741165,0,26974
2004,OKLAHOMA,OK,1463758,959792,503966,0,0
2004,OREGON,OR,1836782,866831,943163,7260,19528
2004,PENNSYLVANIA,PA,5769590,2793847,2938095,21185,16463
2004,RHODE ISLAND,RI,437134,169046,259760,907,7421
2004,SOUTH CAROLINA,SC,1617700,937974,661669,3608,14449
2004,SOUTH DAKOTA,SD,388215,232584,149244,964,5423
2004,TENNESSEE,TN,2437319,1384375,1036477,0,16467
2004,TEXAS,TX,7410749,4526917,2832704,38787,12341
2004,UTAH,UT,927844,663742,241199,3375,19528
2004,VERMONT,VT,312309,121180,184067,1102,5960
2004,VIRGINIA,VA,3195415,1716959,1454742,11032,12682
2004,WASHINGTON,WA,2859084,1304894,1510201,11955,32034
2004,WEST VIRGINIA,WV,755792,423778,326541,1405,4068
2004,WISCONSIN,WI,2997007,1478120,1489504,6464,22919
2004,WYOMING,WY,243861,167629,70776,1171,4285
2008,ALABAMA,AL,2099819,1266546,813479,0,19794
2008,ALASKA,AK,326197,193841,123594,1589,7173
2008,ARIZONA,AZ,2293475,1230111,1034707,12555,16102
2008,ARKANSAS,AR,1086617,638017,422310,4776,21514
2008,CALIFORNIA,CA,13561900,5011781,8274473,67582,208064
2008,COLORADO,CO,2401361,1073589,1288576,10897,28299
2008,CONNECTICUT,CT,1646792,629428,997772,0,19592
2008,DELAWARE,DE,412412,152374,255459,1109,3470
2008,DISTRICT OF COLUMBIA,DC,265853,17367,245800,0,2686
2008,FLORIDA,FL,8390744,4045624,4282074,17218,45828
2008,GEORGIA,GA,3924486,2048759,1844123,28731,2873
2008,HAWAII,HI,453568,120566,325871,1314,5817
2008,IDAHO,ID,655122,403012,236440,3658,12012
2008,ILLINOIS,IL,5522371,2031179,3419348,19642,52202
2008,INDIANA,IN,2751054,1345648,1374039,29257,2110
2008,IOWA,IA,1537123,682379,828940,4590,21214
2008,KANSAS,KS,1235872,699655,514765,6706,14746
2008,KENTUCKY,KY,1826620,1048462,751985,5989,20184
2008,LOUISIANA,LA,1960761,1148275,782989,0,29497
2008,MAINE,ME,731163,295273,421923,0,13967
2008,MARYLAND,MD,2631596,959862,1629467,9842,32425
2008,MASSACHUSETTS,MA,3102995,1108854,1904097,13189,76855
2008,MICHIGAN,MI,5001596,2048639,2872579,23716,56662
2008,MINNESOTA,MN,2910369,1275409,1573354,9174,52432
2008,MISSISSIPPI,MS,1289865,724597,554662,2529,8077
2008,MISSOURI,MO,2925205,1445814,1441911,11386,26094
2008,MONTANA,MT,490109,242763,231667,1355,14324
2008,NEBRASKA,NE,801281,452979,333319,2740,12243
2008,NEVADA,NV,967848,412827,533736,4263,17022
2008,NEW HAMPSHIRE,NH,710970,316534,384826,2748,6862
2008,NEW JERSEY,NJ,3868237,1613207,2215422,8441,31167
2008,NEW MEXICO,NM,830158,346832,472422,2428,8476
2008,NEW YORK,NY,7722019,5171094,9450277,39192,144707
2008,NORTH CAROLINA,NC,4310851,2128474,2142651,25722,14004
2008,NORTH DAKOTA,ND,316621,168601,141278,1354,5388
2008,OHIO,OH,5708350,2677820,2940044,19917,70569
2008,OKLAHOMA,OK,1462661,960165,502496,0,0
2008,OREGON,OR,1827864,738475,1037291,7635,44463
2008,PENNSYLVANIA,PA,6013272,2655885,3276363,19912,61112
2008,RHODE ISLAND,RI,471766,165391,296571,1382,8422
2008,SOUTH CAROLINA,SC,1920969,1034896,862449,7283,16341
2008,SOUTH DAKOTA,SD,381975,203054,170924,1835,6162
2008,TENNESSEE,TN,2599749,1479178,1087437,0,33134
2008,TEXAS,TX,8077795,4479328,3528633,56116,13718
2008,UTAH,UT,952370,596030,327670,6966,21704
2008,VERMONT,VT,325046,98974,219262,1067,5743
2008,VIRGINIA,VA,3723260,1725005,1959532,11067,27656
2008,WASHINGTON,WA,3036878,1229216,1750848,12728,44086
2008,WEST VIRGINIA,WV,713451,397466,303857,0,12128
2008,WISCONSIN,WI,2983417,1262393,1677211,8858,34955
2008,WYOMING,WY,254658,164958,82868,1594,5238
